method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,192,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0001041014,0.0000000000,5,1
PISR-NSGA-II,Airy,1,193,0.0057923554,0.0000000000,4,1
PISR-NSGA-II,Airy,1,193,0.0922892684,0.0000000000,3,1
PISR-NSGA-II,Airy,1,193,0.0000099187,0.0000000000,6,1
PISR-NSGA-II,Airy,1,193,0.0000099187,0.0000000000,6,1
PISR-NSGA-II,Airy,1,193,0.0000099187,0.0000000000,6,1
PISR-NSGA-II,Airy,1,193,0.1167499191,0.0000000000,3,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0057923554,0.0000000000,4,2
PISR-NSGA-II,Airy,1,193,0.0057923554,0.0000000000,4,2
PISR-NSGA-II,Airy,1,193,0.0001041014,0.0000000000,5,2
PISR-NSGA-II,Airy,1,193,0.0001041014,0.0000000000,5,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0057923554,0.0000000000,4,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,193,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0001041014,0.0000000000,5,1
PISR-NSGA-II,Airy,1,194,0.0057923554,0.0000000000,4,1
PISR-NSGA-II,Airy,1,194,0.1677586542,0.0000000000,3,1
PISR-NSGA-II,Airy,1,194,0.0000099187,0.0000000000,6,1
PISR-NSGA-II,Airy,1,194,0.0000099187,0.0000000000,6,1
PISR-NSGA-II,Airy,1,194,0.1677586542,0.0000000000,3,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0057923554,0.0000000000,4,2
PISR-NSGA-II,Airy,1,194,0.0057923554,0.0000000000,4,2
PISR-NSGA-II,Airy,1,194,0.0001041014,0.0000000000,5,2
PISR-NSGA-II,Airy,1,194,0.0001041014,0.0000000000,5,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0057923554,0.0000000000,4,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
PISR-NSGA-II,Airy,1,194,0.0000132479,0.0000000000,6,2
